TimeStep	simtime	s1	s2	s3	p1	p2	p3	Px	Py	Pz
5000	0.1275	4.61E-05	-5.10E-05	-8.94E-05	0.010201791	-0.061210163	0.005511921	-1.102312883	27.31106336	0.010140562
10000	0.3775	0.000418265	-0.00015098	-0.000383931	0.010068906	-0.057529074	0.003446993	-1.321435329	27.23995992	0.008280904
15000	0.6275	0.000576809	-0.00025098	-0.000440741	0.010139633	-0.031106591	0.006522449	-1.450009646	27.05846479	-0.024134289
20000	0.8775	0.000885437	-0.00035098	-0.000603081	0.011956999	-0.008299423	0.005222075	-1.649073677	26.92673545	-0.047996737
25000	1.1275	0.000956005	-0.00045098	-0.000605973	0.009941643	0.00044753	0.005905793	-1.699466429	26.8388875	0.031389324
30000	1.3775	0.001020701	-0.00055098	-0.000632388	0.011223312	-0.025326232	0.003541137	-1.69330767	26.83702334	0.03365394
35000	1.6275	0.000890139	-0.00065098	-0.000356544	0.009743179	-0.029853614	0.005753125	-1.619009445	26.83175635	-0.002187176
40000	1.8775	0.00061591	-0.00075098	3.90E-05	0.010282164	-0.042682716	0.005821716	-1.454636415	26.82233247	0.023743019
45000	2.1275	0.000955693	-0.00085098	-0.000282712	0.012101295	-0.077381489	0.003867155	-1.603448536	26.85614821	-0.018354586
50000	2.3775	0.000516498	-0.00095098	0.000222542	0.006818378	-0.088024792	0.006528419	-1.338085453	26.85224214	-0.061394853
55000	2.6275	0.001304288	-0.00105098	-0.000437618	0.012754371	-0.062885291	0.001614088	-1.818924077	26.68216307	-0.000427146
60000	2.8775	0.001077937	-0.00115098	-0.000110939	0.008411106	-0.040266302	0.008385804	-1.722303481	26.52452039	0.038761471
65000	3.1275	0.001597885	-0.00125098	-0.000515354	0.012244487	-0.023707517	0.003104822	-2.020530204	26.41821744	0.000845708
70000	3.3775	0.001418448	-0.00135098	-0.000286643	0.009218954	-0.046568801	0.005956323	-1.907070697	26.40906023	0.015262304
75000	3.6275	0.001474176	-0.00145098	-0.000248324	0.011069115	-0.058599387	0.00406291	-1.906039165	26.3971916	0.00010945
80000	3.8775	0.001383943	-0.00155098	-1.48E-05	0.010737956	-0.068200859	0.00570927	-1.860215638	26.39729246	-0.058174351
85000	4.1275	0.001204805	-0.00165098	0.000222204	0.010527761	-0.099857742	0.006571698	-1.726717162	26.43214835	-0.014652111
90000	4.3775	0.001392436	-0.00175098	9.13E-05	0.010815179	-0.110842331	0.003819566	-1.799643866	26.40841095	0.027923702
95000	4.6275	0.001449359	-0.00185098	0.00011726	0.00896198	-0.105294458	0.00547067	-1.857033084	26.32351971	0.019840487
100000	4.8775	0.001770363	-0.00195098	-7.82E-05	0.011769736	-0.077963511	0.004316205	-2.059638166	26.13841584	-0.002553357
